,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Secretaría General de Gobierno- TOP 10%,44.7569,47,360,8397,1243,0.036,0.8397,0.1243,10000
Secretaría General de Gobierno- BOTTOM 90%,52.5229,50,8387,776,837,0.8387,0.0776,0.0837,10000
Municipios de Ñuble- TOP 10%,115.7219,189,0,10000,0,0.0,1.0,0.0,10000
Municipios de Ñuble- BOTTOM 90%,187.9998,1262,0,10000,0,0.0,1.0,0.0,10000
La Mujer y Equidad de Género- TOP 10%,73.9688,80,152,9635,213,0.0152,0.9635,0.0213,10000
La Mujer y Equidad de Género- BOTTOM 90%,86.6443,89,1897,7053,1050,0.1897,0.7053,0.105,10000
Energía- TOP 10%,71.551,76,263,9334,403,0.0263,0.9334,0.0403,10000
Energía- BOTTOM 90%,64.1855,65,3118,5277,1605,0.3118,0.5277,0.1605,10000
Municipios del Libertador General Bernardo OHiggins- TOP 10%,174.8572,222,0,10000,0,0.0,1.0,0.0,10000
Municipios del Libertador General Bernardo OHiggins- BOTTOM 90%,864.2076,1328,0,10000,0,0.0,1.0,0.0,10000
Municipios de Aysen del General Carlos Ibáñez del Campo- TOP 10%,131.4243,140,438,9341,221,0.0438,0.9341,0.0221,10000
Municipios de Aysen del General Carlos Ibáñez del Campo- BOTTOM 90%,339.4,349,1632,8110,258,0.1632,0.811,0.0258,10000
Trabajo y Previsión Social- TOP 10%,222.0631,260,0,10000,0,0.0,1.0,0.0,10000
Trabajo y Previsión Social- BOTTOM 90%,362.2652,384,144,9807,49,0.0144,0.9807,0.0049,10000
Salud- TOP 10%,1475.6244,1787,0,10000,0,0.0,1.0,0.0,10000
Salud- BOTTOM 90%,3658.6324,4459,0,10000,0,0.0,1.0,0.0,10000
Municipios de Atacama- TOP 10%,52.1498,57,101,9631,268,0.0101,0.9631,0.0268,10000
Municipios de Atacama- BOTTOM 90%,421.8211,502,0,10000,0,0.0,1.0,0.0,10000
Educación- TOP 10%,375.232,436,0,10000,0,0.0,1.0,0.0,10000
Educación- BOTTOM 90%,1705.1681,1724,2390,7486,124,0.239,0.7486,0.0124,10000
Justicia- TOP 10%,172.233,216,0,10000,0,0.0,1.0,0.0,10000
Justicia- BOTTOM 90%,200.5451,213,289,9601,110,0.0289,0.9601,0.011,10000
Desarrollo Social- TOP 10%,140.7193,164,0,10000,0,0.0,1.0,0.0,10000
Desarrollo Social- BOTTOM 90%,77.3687,83,261,9416,323,0.0261,0.9416,0.0323,10000
Defensa Nacional- TOP 10%,281.5617,326,0,10000,0,0.0,1.0,0.0,10000
Defensa Nacional- BOTTOM 90%,567.9582,579,2007,7753,240,0.2007,0.7753,0.024,10000
Municipios de La Araucanía- TOP 10%,200.4723,201,4384,5001,615,0.4384,0.5001,0.0615,10000
Municipios de La Araucanía- BOTTOM 90%,1378.0672,1604,0,10000,0,0.0,1.0,0.0,10000
Vivienda y Urbanismo- TOP 10%,157.8303,177,1,9999,0,0.0001,0.9999,0.0,10000
Vivienda y Urbanismo- BOTTOM 90%,234.7263,252,92,9877,31,0.0092,0.9877,0.0031,10000
Municipios de Los Ríos- TOP 10%,113.1548,114,3779,5250,971,0.3779,0.525,0.0971,10000
Municipios de Los Ríos- BOTTOM 90%,736.705,908,0,10000,0,0.0,1.0,0.0,10000
Municipios de Antofagasta- TOP 10%,38.6535,39,3460,4362,2178,0.346,0.4362,0.2178,10000
Municipios de Antofagasta- BOTTOM 90%,246.855,251,2886,6675,439,0.2886,0.6675,0.0439,10000
Deporte- TOP 10%,59.1316,65,27,9884,89,0.0027,0.9884,0.0089,10000
Deporte- BOTTOM 90%,93.4978,102,68,9862,70,0.0068,0.9862,0.007,10000
Municipios de Valparaíso- TOP 10%,289.8812,348,0,10000,0,0.0,1.0,0.0,10000
Municipios de Valparaíso- BOTTOM 90%,1393.4535,1708,0,10000,0,0.0,1.0,0.0,10000
Hacienda- TOP 10%,278.4506,337,0,10000,0,0.0,1.0,0.0,10000
Hacienda- BOTTOM 90%,497.8628,605,0,10000,0,0.0,1.0,0.0,10000
