,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Municipios de Tarapacá- TOP 10%,24.9934,25,3651,2698,3651,0.3651,0.2698,0.3651,10000
Municipios de Tarapacá- BOTTOM 90%,179.1584,185,1500,8071,429,0.15,0.8071,0.0429,10000
Municipios de R. Metropolitana de Santiago- TOP 10%,682.422,856,0,10000,0,0.0,1.0,0.0,10000
Municipios de R. Metropolitana de Santiago- BOTTOM 90%,2948.7821,3079,7,9993,0,0.0007,0.9993,0.0,10000
Municipios de Coquimbo- TOP 10%,126.6545,142,38,9940,22,0.0038,0.994,0.0022,10000
Municipios de Coquimbo- BOTTOM 90%,814.4047,995,0,10000,0,0.0,1.0,0.0,10000
Economía Fomento y Turismo- TOP 10%,239.441,258,52,9929,19,0.0052,0.9929,0.0019,10000
Economía Fomento y Turismo- BOTTOM 90%,227.176,185,10000,0,0,1.0,0.0,0.0,10000
Corporaciones Municipales- TOP 10%,534.926,649,0,10000,0,0.0,1.0,0.0,10000
Corporaciones Municipales- BOTTOM 90%,2688.8106,3127,0,10000,0,0.0,1.0,0.0,10000
Municipios del Maule- TOP 10%,207.8863,249,0,10000,0,0.0,1.0,0.0,10000
Municipios del Maule- BOTTOM 90%,1008.8247,1475,0,10000,0,0.0,1.0,0.0,10000
Municipios de Magallanes y de la Antártica Chilena- TOP 10%,85.0467,91,521,9159,320,0.0521,0.9159,0.032,10000
Municipios de Magallanes y de la Antártica Chilena- BOTTOM 90%,235.0207,239,3032,6556,412,0.3032,0.6556,0.0412,10000
Consejo Defensa del Estado- TOP 10%,97.3016,103,362,9330,308,0.0362,0.933,0.0308,10000
Consejo Defensa del Estado- BOTTOM 90%,27.7852,29,0,7057,2943,0.0,0.7057,0.2943,10000
Interior y Seguridad Pública- TOP 10%,163.9193,207,0,10000,0,0.0,1.0,0.0,10000
Interior y Seguridad Pública- BOTTOM 90%,219.3451,288,0,10000,0,0.0,1.0,0.0,10000
Culturas y las Artes- TOP 10%,70.7955,45,10000,0,0,1.0,0.0,0.0,10000
Culturas y las Artes- BOTTOM 90%,113.5725,59,10000,0,0,1.0,0.0,0.0,10000
Obras Públicas- TOP 10%,106.0216,112,493,9149,358,0.0493,0.9149,0.0358,10000
Obras Públicas- BOTTOM 90%,322.4003,336,649,9206,145,0.0649,0.9206,0.0145,10000
Agricultura- TOP 10%,169.993,189,0,9996,4,0.0,0.9996,0.0004,10000
Agricultura- BOTTOM 90%,183.7195,194,395,9428,177,0.0395,0.9428,0.0177,10000
Municipios del Bíobio- TOP 10%,288.305,353,0,10000,0,0.0,1.0,0.0,10000
Municipios del Bíobio- BOTTOM 90%,1304.0266,1677,0,10000,0,0.0,1.0,0.0,10000
Municipios de Los Lagos- TOP 10%,279.9031,341,0,10000,0,0.0,1.0,0.0,10000
Municipios de Los Lagos- BOTTOM 90%,1355.4825,1452,0,10000,0,0.0,1.0,0.0,10000
